"Spot","Date","UT","Julian Date","Long","Lat"
"A",01-13-2002, 4:00:16 ,2452287.666852,-55.65453,6.55383
"A",01-14-2002, 4:00:16 ,2452288.666852,-42.28630,6.59370
"A",01-15-2002, 4:00:16 ,2452289.666852,-28.88230,6.64063
"A",01-16-2002, 4:00:16 ,2452290.666852,-15.50355,6.67726
"A",01-17-2002, 4:00:16 ,2452291.666852,-2.01846,6.70327
"A",01-18-2002, 4:00:16 ,2452292.666852,11.37515,6.62191
"A",01-19-2002, 4:00:16 ,2452293.666852,24.77242,6.60149
"A",01-20-2002, 4:00:16 ,2452294.666852,38.04959,6.41166
"A",01-21-2002, 4:00:16 ,2452295.666852,51.31593,6.29824
"A",01-22-2002, 4:00:16 ,2452296.666852,64.83209,6.62467
"A",01-23-2002, 4:00:16 ,2452297.666852,76.66677,6.57176
"B",01-13-2002, 4:00:16 ,2452287.666852,-63.34676,11.23107
"B",01-14-2002, 4:00:16 ,2452288.666852,-50.18665,11.08985
"B",01-15-2002, 4:00:16 ,2452289.666852,-36.88429,10.95110
"B",01-16-2002, 4:00:16 ,2452290.666852,-23.58993,10.87732
"B",01-17-2002, 4:00:16 ,2452291.666852,-10.41042,10.75143
"B",01-18-2002, 4:00:16 ,2452292.666852,2.80314,10.59884
"B",01-19-2002, 4:00:16 ,2452293.666852,16.02770,10.33038
"B",01-20-2002, 4:00:16 ,2452294.666852,29.20190,10.09961
"B",01-21-2002, 4:00:16 ,2452295.666852,42.40231,10.01009
"B",01-22-2002, 4:00:16 ,2452296.666852,55.40194,10.00550
"B",01-23-2002, 4:00:16 ,2452297.666852,68.57070,9.97334
"C",01-13-2002, 4:00:16 ,2452287.666852,-48.83466,-4.97057
"C",01-14-2002, 4:00:16 ,2452288.666852,-35.50570,-4.77817
"C",01-15-2002, 4:00:16 ,2452289.666852,-22.32334,-4.60597
"C",01-16-2002, 4:00:16 ,2452290.666852,-9.04038,-4.51789
"C",01-17-2002, 4:00:16 ,2452291.666852,4.19704,-4.45484
"C",01-18-2002, 4:00:16 ,2452292.666852,17.66659,-4.46922
"C",01-19-2002, 4:00:16 ,2452293.666852,31.04852,-4.54630
"C",01-20-2002, 4:00:16 ,2452294.666852,44.35606,-4.50570
"C",01-21-2002, 4:00:16 ,2452295.666852,57.51859,-4.40233
"C",01-22-2002, 4:00:16 ,2452296.666852,70.43497,-4.44667
"D",01-13-2002, 4:00:16 ,2452287.666852,-75.09000,-10.39144
"D",01-14-2002, 4:00:16 ,2452288.666852,-61.52851,-10.65060
"D",01-15-2002, 4:00:16 ,2452289.666852,-48.42289,-10.90289
"D",01-16-2002, 4:00:16 ,2452290.666852,-35.34592,-11.11281
"D",01-17-2002, 4:00:16 ,2452291.666852,-22.33181,-11.18763
"D",01-18-2002, 4:00:16 ,2452292.666852,-9.39826,-11.38654
"D",01-19-2002, 4:00:16 ,2452293.666852,3.61386,-11.52341
"D",01-20-2002, 4:00:16 ,2452294.666852,16.54060,-11.55453
"D",01-21-2002, 4:00:16 ,2452295.666852,29.43427,-11.62974
"D",01-22-2002, 4:00:16 ,2452296.666852,42.40014,-11.70924
"D",01-23-2002, 4:00:16 ,2452297.666852,55.16223,-11.70424
"EXP",01-13-2002, 4:00:16 ,2452287.666852,-10.06711,28.79832
"EXP",01-14-2002, 4:00:16 ,2452288.666852,2.59907,28.69309
"EXP",01-15-2002, 4:00:16 ,2452289.666852,15.32213,28.81208
"EXP",01-16-2002, 4:00:16 ,2452290.666852,27.96642,28.74780
"EXP",01-17-2002, 4:00:16 ,2452291.666852,40.68168,28.52958
"EXP",01-18-2002, 4:00:16 ,2452292.666852,53.31627,28.61809
"EXP",01-19-2002, 4:00:16 ,2452293.666852,65.70861,28.58446
