$Time_{Julian\;Date_{A}}$,$Longitud_{A}$,$Lattitude_{A}$,$Time_{Julian\;Date_{B}}$,$Longitud_{B}$,$Lattitude_{B}$,$Time_{Julian\;Date_{C}}$,$Longitud_{C}$,$Lattitude_{C}$,$Time_{Julian\;Date_{D}}$,$Longitud_{D}$,$Lattitude_{D}$,$Time_{Julian\;Date_{Esp}}$,$Longitud_{Esp}$,$Lattitude_{Esp}$
2452287.666852,-55.65453,6.55383,2452287.666852,-63.34676,11.23107,2452287.666852,-48.83466,-4.97057,2452287.666852,-75.09000,-10.39144,2452287.666852,-10.06711,28.79832
2452288.666852,-42.28630,6.59370,2452288.666852,-50.18665,11.08985,2452288.666852,-35.50570,-4.77817,2452288.666852,-61.52851,-10.65060,2452288.666852,2.59907,28.69309
2452289.666852,-28.88230,6.64063,2452289.666852,-36.88429,10.95110,2452289.666852,-22.32334,-4.60597,2452289.666852,-48.42289,-10.90289,2452289.666852,15.32213,28.81208
2452290.666852,-15.50355,6.67726,2452290.666852,-23.58993,10.87732,2452290.666852,-9.04038,-4.51789,2452290.666852,-35.34592,-11.11281,2452290.666852,27.96642,28.74780
2452291.666852,-2.01846,6.70327,2452291.666852,-10.41042,10.75143,2452291.666852,4.19704,-4.45484,2452291.666852,-22.33181,-11.18763,2452291.666852,40.68168,28.52958
2452292.666852,11.37515,6.62191,2452292.666852,2.80314,10.59884,2452292.666852,17.66659,-4.46922,2452292.666852,-9.39826,-11.38654,2452292.666852,53.31627,28.61809
2452293.666852,24.77242,6.60149,2452293.666852,16.02770,10.33038,2452293.666852,31.04852,-4.54630,2452293.666852,3.61386,-11.52341,2452293.666852,65.70861,28.58446
2452294.666852,38.04959,6.41166,2452294.666852,29.20190,10.09961,2452294.666852,44.35606,-4.50570,2452294.666852,16.54060,-11.55453, 0,0,0
2452295.666852,51.31593,6.29824,2452295.666852,42.40231,10.01009,2452295.666852,57.51859,-4.40233,2452295.666852,29.43427,-11.62974, 0,0,0
2452296.666852,64.83209,6.62467,2452296.666852,55.40194,10.00550,2452296.666852,70.43497,-4.44667,2452296.666852,42.40014,-11.70924, 0,0,0
2452297.666852,76.66677,6.57176,2452297.666852,68.57070,9.97334, 0,0,0,2452297.666852,55.16223,-11.70424,0,0,0
